Time[s], Channel 0, Channel 1
7.951476, 1, 1
7.951482, 0, 0
7.951488, 1, 0
7.951492, 0, 1
7.951498, 1, 1
7.951502, 0, 0
7.951508, 1, 0
7.951512, 0, 0
7.951514, 0, 1
7.951518, 1, 1
7.951524, 0, 1
7.951530, 1, 1
7.951534, 0, 0
7.951540, 1, 0
7.951544, 1, 1
7.951822, 1, 0
7.951826, 0, 0
7.951832, 1, 0
7.951836, 0, 1
7.951842, 1, 1
7.951848, 0, 1
7.951854, 1, 1
7.951858, 0, 1
7.951864, 1, 1
7.951868, 0, 0
7.951874, 1, 0
7.951878, 0, 1
7.951884, 1, 1
7.951890, 0, 1
7.951896, 1, 1
7.951900, 0, 1
7.951906, 1, 1
7.951910, 0, 1
7.951916, 1, 1
7.951920, 0, 0
7.951926, 1, 0
7.951932, 1, 1
7.952208, 1, 0
7.952212, 0, 0
7.952220, 1, 0
7.952224, 0, 1
7.952230, 1, 1
7.952234, 0, 1
7.952240, 1, 1
7.952244, 0, 1
7.952250, 1, 1
7.952256, 0, 1
7.952262, 1, 1
7.952266, 0, 0
7.952272, 1, 0
7.952276, 0, 0
7.952282, 1, 0
7.952286, 0, 1
7.952292, 1, 1
7.952298, 0, 1
7.952304, 1, 1
7.952308, 0, 0
7.952314, 1, 0
7.952318, 1, 1
7.952618, 1, 0
7.952622, 0, 0
7.952628, 1, 0
7.952632, 0, 1
7.952638, 1, 1
7.952642, 0, 1
7.952648, 1, 1
7.952654, 0, 1
7.952660, 1, 1
7.952664, 0, 1
7.952670, 1, 1
7.952674, 0, 0
7.952680, 1, 0
7.952684, 0, 0
7.952686, 0, 1
7.952690, 1, 1
7.952696, 0, 1
7.952702, 1, 1
7.952706, 0, 1
7.952712, 1, 1
7.952716, 0, 0
7.952722, 1, 0
7.952728, 1, 1
7.953004, 1, 0
7.953010, 0, 0
7.953016, 1, 0
7.953020, 0, 1
7.953026, 1, 1
7.953030, 0, 1
7.953036, 1, 1
7.953040, 0, 1
7.953046, 1, 1
7.953052, 0, 1
7.953058, 1, 1
7.953062, 0, 1
7.953068, 1, 1
7.953072, 0, 0
7.953078, 1, 0
7.953082, 0, 0
